dataset	original_id	ensembl	symbol	mapping_source	duplicate_status	included	exclusion_reason
OKSA	ENSG00000013392	ENSG00000013392	RWDD2A	ensembl_from_source	unique	True	
OKSA	ENSG00000013441	ENSG00000013441	CLK1	ensembl_from_source	unique	True	
OKSA	ENSG00000013503	ENSG00000013503	POLR3B	ensembl_from_source	unique	True	
OKSA	ENSG00000013523	ENSG00000013523	ANGEL1	ensembl_from_source	unique	True	
OKSA	ENSG00000013561	ENSG00000013561	RNF14	ensembl_from_source	unique	True	
OKSA	ENSG00000013563	ENSG00000013563	DNASE1L1	ensembl_from_source	unique	True	
OKSA	ENSG00000013573	ENSG00000013573	DDX11	ensembl_from_source	unique	True	
OKSA	ENSG00000013583	ENSG00000013583	HEBP1	ensembl_from_source	unique	True	
OKSA	ENSG00000013588	ENSG00000013588	GPRC5A	ensembl_from_source	unique	True	
OKSA	ENSG00000013619	ENSG00000013619	MAMLD1	ensembl_from_source	unique	True	
OKSA	ENSG00000013725	ENSG00000013725	CD6	ensembl_from_source	unique	True	
OKSA	ENSG00000013810	ENSG00000013810	TACC3	ensembl_from_source	unique	True	
OKSA	ENSG00000014123	ENSG00000014123	UFL1	ensembl_from_source	unique	True	
OKSA	ENSG00000014138	ENSG00000014138	POLA2	ensembl_from_source	unique	True	
OKSA	ENSG00000014164	ENSG00000014164	ZC3H3	ensembl_from_source	unique	True	
OKSA	ENSG00000014216	ENSG00000014216	CAPN1	ensembl_from_source	unique	True	
OKSA	ENSG00000014257	ENSG00000014257	ACP3	ensembl_from_source	unique	True	
OKSA	ENSG00000014641	ENSG00000014641	MDH1	ensembl_from_source	unique	True	
OKSA	ENSG00000014824	ENSG00000014824	SLC30A9	ensembl_from_source	unique	True	
OKSA	ENSG00000014914	ENSG00000014914	MTMR11	ensembl_from_source	unique	True	
OKSA	ENSG00000014919	ENSG00000014919	COX15	ensembl_from_source	unique	True	
OKSA	ENSG00000015133	ENSG00000015133	CCDC88C	ensembl_from_source	unique	True	
OKSA	ENSG00000015153	ENSG00000015153	YAF2	ensembl_from_source	unique	True	
OKSA	ENSG00000015171	ENSG00000015171	ZMYND11	ensembl_from_source	unique	True	
OKSA	ENSG00000015285	ENSG00000015285	WAS	ensembl_from_source	unique	True	
OKSA	ENSG00000015413	ENSG00000015413	DPEP1	ensembl_from_source	unique	True	
OKSA	ENSG00000015475	ENSG00000015475	BID	ensembl_from_source	unique	True	
