gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
HIST3H2A,11,99,0.025418181818181805,-0.06430101010101007,0.08971919191919187,0.6218726388757616,0.8670710769595849,1.0,1.0
GPR123,11,99,-0.5492545454545454,-0.4639666666666668,-0.08528787878787863,0.6222101082721373,0.867320725863756,1.0,1.0
MAGEL2,11,99,-0.32690909090909087,-0.29911313131313133,-0.02779595959595954,0.6222285816404902,0.867320725863756,1.0,1.0
CDC20B,11,99,-0.17298181818181818,-0.10704747474747474,-0.06593434343434344,0.6225118406123602,0.867320725863756,1.0,1.0
MIR4667,11,99,-0.1296363636363636,-0.15008888888888888,0.020452525252525278,0.6228169223961966,0.867320725863756,1.0,1.0
MIRLET7G,11,99,-0.16129999999999997,-0.2733272727272727,0.11202727272727273,0.6228177179891676,0.867320725863756,1.0,1.0
DCX,11,99,-0.4794272727272727,-0.37631616161616155,-0.10311111111111115,0.6230723619428644,0.867320725863756,1.0,1.0
RSPO4,11,99,0.13884545454545452,-0.3007858585858586,0.4396313131313131,0.6233331323222195,0.867320725863756,1.0,1.0
SLAMF8,11,99,-0.3763272727272727,-0.2458212121212121,-0.13050606060606057,0.6233528083208242,0.867320725863756,1.0,1.0
AGT,11,99,-0.24537272727272727,-0.1919353535353535,-0.05343737373737378,0.6236974299949802,0.867320725863756,1.0,1.0
ITPRIP-AS1,11,99,-0.6223727272727272,-0.5476121212121211,-0.07476060606060608,0.6236986457654164,0.867320725863756,1.0,1.0
CCDC67,11,99,-0.5611727272727273,-0.4994808080808082,-0.061691919191919076,0.6237166075282872,0.867320725863756,1.0,1.0
AADACL2,11,99,-0.5065272727272728,-0.4677676767676766,-0.038759595959596216,0.6237166075282872,0.867320725863756,1.0,1.0
ZNF451-AS1,11,99,-0.2761545454545455,-0.11935151515151518,-0.1568030303030303,0.6238083009520221,0.867320725863756,1.0,1.0
LINC01950,11,99,-0.8728545454545454,-0.8255151515151518,-0.04733939393939368,0.6238552878784891,0.867320725863756,1.0,1.0
APELA,11,99,-0.40567272727272724,-0.2498434343434343,-0.15582929292929293,0.6242699746558106,0.867320725863756,1.0,1.0
C8orf34,11,99,-0.4707454545454545,-0.37360202020202016,-0.09714343434343437,0.6243302270744473,0.867320725863756,1.0,1.0
CFAP57,11,99,-0.3081545454545455,-0.1395858585858586,-0.16856868686868692,0.6244923858535718,0.867320725863756,1.0,1.0
GOLGA6C,11,99,-0.5660363636363637,-0.43362626262626264,-0.13241010101010103,0.6245542602246152,0.867320725863756,1.0,1.0
NRG3,11,99,-0.2727818181818181,-0.00505959595959596,-0.26772222222222214,0.6246391079999385,0.867320725863756,1.0,1.0
PIEZO2,11,99,-0.25503636363636367,0.009436363636363656,-0.2644727272727273,0.6247519750803495,0.867320725863756,1.0,1.0
CYP4X1,11,99,-0.37211818181818185,-0.33699191919191923,-0.035126262626262617,0.6250269255490113,0.867320725863756,1.0,1.0
ATP11A-AS1,11,99,-0.6612545454545454,-0.5129141414141416,-0.14834040404040383,0.6250283737928177,0.867320725863756,1.0,1.0
FAM71B,11,99,-0.7365818181818183,-0.6316131313131315,-0.10496868686868688,0.6250283737928177,0.867320725863756,1.0,1.0
TBX15,11,99,-0.04345454545454544,-0.06244343434343435,0.01898888888888891,0.6250399525064754,0.867320725863756,1.0,1.0
MIR1225,11,99,-0.15475454545454548,0.02996060606060604,-0.18471515151515153,0.6251704199823611,0.867320725863756,1.0,1.0
REP15,11,99,-0.16590000000000005,-0.062063636363636356,-0.1038363636363637,0.6252679864499155,0.867320725863756,1.0,1.0
C7orf66,11,99,-0.6294545454545455,-0.4943555555555555,-0.13509898989899,0.6253494613215492,0.867320725863756,1.0,1.0
MIR26A1,11,99,-0.8984454545454547,-0.804567676767677,-0.09387777777777762,0.6253494613215492,0.867320725863756,1.0,1.0
AADACP1,11,99,-0.4671727272727273,-0.386579797979798,-0.08059292929292927,0.6253494613215492,0.867320725863756,1.0,1.0
ECEL1P2,11,99,-0.6098545454545454,-0.4953888888888889,-0.11446565656565655,0.6253494613215492,0.867320725863756,1.0,1.0
MUC5B,11,99,-0.3087363636363636,-0.268320202020202,-0.04041616161616157,0.6253705657352693,0.867320725863756,1.0,1.0
ANKRD39,11,99,-0.007590909090909082,0.10992828282828283,-0.11751919191919191,0.6253958784907572,0.867320725863756,1.0,1.0
MT-ATP8,11,99,0.029754545454545447,-0.06892424242424243,0.09867878787878788,0.6253966579197523,0.867320725863756,1.0,1.0
CDC45,11,99,-0.24130909090909095,-0.09498585858585856,-0.14632323232323238,0.6253966579197523,0.867320725863756,1.0,1.0
ERCC2,11,99,-0.20562727272727274,-0.0685646464646465,-0.13706262626262625,0.6253966579197523,0.867320725863756,1.0,1.0
RPS10P7,11,99,-0.2713181818181818,-0.016157575757575763,-0.25516060606060603,0.6253966579197523,0.867320725863756,1.0,1.0
TM9SF1,11,99,-0.1811636363636364,0.02908888888888887,-0.21025252525252525,0.6253966579197523,0.867320725863756,1.0,1.0
TMEM86A,11,99,0.06311818181818186,-0.07687171717171717,0.13998989898989905,0.6253966579197523,0.867320725863756,1.0,1.0
IL32,11,99,0.2998,0.06907272727272726,0.23072727272727275,0.6253966579197523,0.867320725863756,1.0,1.0
SZRD1,11,99,-0.023972727272727236,0.1043777777777778,-0.12835050505050505,0.6253966579197523,0.867320725863756,1.0,1.0
